,Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Sex of Casualty,Age of Casuality,Speed,Type of Vehicle,Casualty Severity
20,110020394.0,440364.0,432921.0,1.0,2011-01-14,14.0,2,3,4,1,2,0,41,80.0,2,2
21,110028318.0,428420.0,428769.0,2.0,2011-01-14,13.0,0,1,4,1,0,1,49,65.0,2,2
22,110028318.0,428420.0,428769.0,2.0,2011-01-14,13.0,0,1,4,1,1,0,40,35.0,2,2
23,110022044.0,443555.0,431677.0,2.0,2011-01-15,15.0,0,3,4,0,0,1,56,65.0,3,2
24,110022353.0,419921.0,441043.0,2.0,2011-01-15,17.0,0,3,2,5,0,0,41,5.0,2,2
25,110022391.0,423699.0,434572.0,2.0,2011-01-15,17.0,4,3,2,1,0,1,58,35.0,2,1
26,110022391.0,423699.0,434572.0,2.0,2011-01-15,17.0,4,3,2,1,1,1,78,35.0,2,2
27,110022391.0,423699.0,434572.0,2.0,2011-01-15,17.0,4,3,2,1,1,1,49,60.0,2,2
28,110023466.0,433877.0,434054.0,2.0,2011-01-15,19.0,4,1,2,0,0,1,35,45.0,2,2
29,110022731.0,438120.0,445841.0,1.0,2011-01-16,1.0,0,1,0,1,0,0,35,95.0,2,2
30,110022813.0,431401.0,433650.0,1.0,2011-01-16,1.0,0,1,2,1,0,1,53,80.0,2,2
31,110023728.0,431329.0,424958.0,3.0,2011-01-16,19.0,3,3,2,1,1,0,19,80.0,2,2
32,110025643.0,430308.0,433901.0,1.0,2011-01-16,17.0,4,3,1,6,2,1,20,55.0,2,2
33,110037801.0,428556.0,432730.0,2.0,2011-01-16,12.0,0,1,4,1,0,1,29,99.0,2,2
34,110024867.0,424194.0,438765.0,2.0,2011-01-17,11.0,4,1,4,1,0,0,18,70.0,2,2
35,110024867.0,424194.0,438765.0,2.0,2011-01-17,11.0,4,1,4,1,1,1,18,45.0,2,2
36,110024990.0,429560.0,431576.0,1.0,2011-01-17,13.0,4,1,4,1,0,1,49,5.0,2,2
37,110024990.0,429560.0,431576.0,1.0,2011-01-17,13.0,4,1,4,1,2,1,64,25.0,2,1
38,110025535.0,436287.0,428304.0,1.0,2011-01-17,15.0,0,1,4,1,2,1,11,99.0,2,2
39,110028315.0,432430.0,434850.0,2.0,2011-01-17,17.0,2,1,1,1,0,0,19,95.0,2,2
40,110026365.0,438484.0,427254.0,2.0,2011-01-18,7.0,0,2,4,1,0,1,51,5.0,2,2
41,110026365.0,438484.0,427254.0,2.0,2011-01-18,7.0,0,2,4,1,1,0,10,80.0,2,2
42,110026370.0,438787.0,426990.0,1.0,2011-01-18,9.0,0,2,4,1,0,0,33,80.0,2,2
43,110027045.0,422224.0,433798.0,1.0,2011-01-18,8.0,2,1,4,1,2,1,15,15.0,7,2
44,110027045.0,422224.0,433798.0,1.0,2011-01-18,8.0,2,1,4,1,2,1,15,65.0,7,2
45,110027286.0,430361.0,433450.0,1.0,2011-01-18,15.0,4,1,4,1,2,1,52,80.0,1,2
46,110027286.0,430361.0,433450.0,1.0,2011-01-18,15.0,4,1,4,1,1,0,26,70.0,1,2
47,110027443.0,433070.0,434009.0,2.0,2011-01-18,17.0,0,1,2,1,0,1,18,85.0,12,2
48,110036783.0,430733.0,439260.0,1.0,2011-01-18,20.0,0,3,2,1,2,1,56,80.0,2,2
49,110038941.0,432028.0,435899.0,2.0,2011-01-18,16.0,4,1,2,1,0,1,50,35.0,9,1
50,110028022.0,433906.0,434112.0,2.0,2011-01-19,7.0,0,1,4,1,0,1,58,20.0,12,1
51,110028309.0,421464.0,445813.0,2.0,2011-01-19,10.0,0,1,4,1,0,1,44,45.0,2,2
52,110028491.0,437041.0,425878.0,3.0,2011-01-19,10.0,3,1,4,1,0,1,42,60.0,3,2
53,110030967.0,428112.0,426277.0,3.0,2011-01-19,18.0,0,1,2,1,0,0,35,80.0,2,2
54,110086398.0,433158.0,435250.0,2.0,2011-01-19,11.0,4,1,4,1,1,0,54,5.0,2,2
55,110030056.0,427812.0,434421.0,2.0,2011-01-20,8.0,0,2,4,1,0,1,43,80.0,12,1
56,110030544.0,426988.0,427908.0,2.0,2011-01-20,10.0,4,1,4,1,1,0,44,65.0,1,2
57,110030544.0,426988.0,427908.0,2.0,2011-01-20,10.0,4,1,4,1,1,0,51,95.0,1,2
58,110031207.0,427458.0,437284.0,2.0,2011-01-20,16.0,4,1,2,1,0,0,39,45.0,2,2
59,110031207.0,427458.0,437284.0,2.0,2011-01-20,16.0,4,1,2,1,0,1,39,55.0,2,2
60,110031207.0,427458.0,437284.0,2.0,2011-01-20,16.0,4,1,2,1,1,0,31,55.0,2,2
61,110031656.0,431188.0,434979.0,2.0,2011-01-21,0.0,0,2,2,1,0,1,35,15.0,2,2
62,110032985.0,429282.0,433481.0,2.0,2011-01-21,16.0,4,1,2,1,0,0,21,25.0,2,2
63,110032985.0,429282.0,433481.0,2.0,2011-01-21,16.0,4,1,2,1,0,1,20,25.0,2,2
64,110032985.0,429282.0,433481.0,2.0,2011-01-21,16.0,4,1,2,1,1,1,12,35.0,2,2
65,110032985.0,429282.0,433481.0,2.0,2011-01-21,16.0,4,1,2,1,1,1,27,35.0,2,2
66,110033003.0,424413.0,434459.0,2.0,2011-01-21,13.0,4,1,4,1,0,1,21,20.0,2,1
67,110033003.0,424413.0,434459.0,2.0,2011-01-21,13.0,4,1,4,1,1,1,22,99.0,2,1
68,110033203.0,430041.0,432184.0,1.0,2011-01-21,20.0,3,3,2,1,0,1,25,45.0,2,2
69,110034884.0,427690.0,436573.0,1.0,2011-01-21,22.0,0,1,2,1,2,1,22,95.0,1,2
70,110038884.0,431402.0,435025.0,2.0,2011-01-21,13.0,4,1,4,1,0,0,44,55.0,2,2
71,110033519.0,429913.0,430965.0,2.0,2011-01-22,0.0,4,3,2,5,0,1,21,5.0,2,2
72,110033519.0,429913.0,430965.0,2.0,2011-01-22,0.0,4,3,2,5,1,1,19,5.0,2,2
73,110033519.0,429913.0,430965.0,2.0,2011-01-22,0.0,4,3,2,5,1,1,21,65.0,2,2
74,110034797.0,430901.0,435546.0,2.0,2011-01-22,21.0,4,3,2,1,0,1,45,10.0,14,2
75,110036601.0,430100.0,431513.0,2.0,2011-01-22,16.0,0,1,4,1,0,1,39,35.0,8,2
76,110047373.0,430424.0,433976.0,3.0,2011-01-22,22.0,0,1,2,1,1,0,26,15.0,14,2
77,110047775.0,429992.0,434071.0,1.0,2011-01-22,14.0,4,1,4,1,2,0,12,60.0,2,2
78,110134619.0,427973.0,431072.0,1.0,2011-01-22,23.0,0,1,2,1,0,1,28,10.0,2,2
79,110134619.0,427973.0,431072.0,1.0,2011-01-22,23.0,0,1,2,1,1,1,35,95.0,2,2
80,110036001.0,432497.0,433611.0,2.0,2011-01-23,19.0,4,1,2,1,0,1,30,95.0,2,2
81,110036827.0,431617.0,435267.0,1.0,2011-01-24,8.0,0,3,4,1,2,0,11,15.0,2,1
82,110037812.0,431775.0,435545.0,2.0,2011-01-24,15.0,0,1,4,1,0,1,53,15.0,2,2
83,110037857.0,420775.0,434390.0,3.0,2011-01-24,17.0,0,1,1,1,0,1,19,25.0,2,2
84,110037857.0,420775.0,434390.0,3.0,2011-01-24,17.0,0,1,1,1,0,0,43,70.0,2,2
85,110037857.0,420775.0,434390.0,3.0,2011-01-24,17.0,0,1,1,1,1,1,19,45.0,2,2
86,110037857.0,420775.0,434390.0,3.0,2011-01-24,17.0,0,1,1,1,1,0,13,55.0,2,2
87,110039417.0,424376.0,435296.0,2.0,2011-01-24,18.0,0,3,2,1,0,0,41,5.0,2,2
88,110038178.0,430175.0,434113.0,1.0,2011-01-25,0.0,4,1,1,1,2,1,20,95.0,2,2
89,110039678.0,433138.0,434005.0,1.0,2011-01-25,18.0,0,1,1,1,0,1,22,20.0,8,1
90,110039953.0,429617.0,434645.0,2.0,2011-01-25,22.0,0,1,2,1,0,1,24,80.0,2,2
91,110039967.0,424032.0,442013.0,1.0,2011-01-25,21.0,4,3,0,1,0,1,18,70.0,2,1
92,110039967.0,424032.0,442013.0,1.0,2011-01-25,21.0,4,3,0,1,1,1,19,70.0,2,1
93,110039967.0,424032.0,442013.0,1.0,2011-01-25,21.0,4,3,0,1,1,1,18,55.0,2,0
94,110040606.0,426592.0,431736.0,2.0,2011-01-25,18.0,0,1,1,1,0,1,19,95.0,12,2
95,110040370.0,433299.0,429978.0,3.0,2011-01-26,8.0,2,3,4,1,0,1,39,85.0,2,2
96,110040370.0,433299.0,429978.0,3.0,2011-01-26,8.0,2,3,4,1,0,0,31,25.0,2,2
97,110041120.0,427452.0,434601.0,2.0,2011-01-26,8.0,0,1,4,1,0,1,28,25.0,9,2
98,110041698.0,426422.0,432040.0,1.0,2011-01-26,17.0,4,3,2,5,0,1,17,99.0,2,1
99,110041743.0,426065.0,436365.0,1.0,2011-01-26,15.0,4,3,4,1,2,1,11,35.0,2,1
100,110041760.0,431883.0,435241.0,2.0,2011-01-26,18.0,4,3,2,1,0,1,24,35.0,2,2
101,110041760.0,431883.0,435241.0,2.0,2011-01-26,18.0,4,3,2,1,0,1,25,99.0,2,2
102,110048908.0,442961.0,445660.0,2.0,2011-01-26,18.0,0,3,2,1,0,1,24,45.0,10,2
103,110042345.0,424173.0,434735.0,2.0,2011-01-27,8.0,4,1,4,1,0,0,35,45.0,2,2
104,110042345.0,424173.0,434735.0,2.0,2011-01-27,8.0,4,1,4,1,0,0,31,5.0,2,2
105,110042973.0,431660.0,426464.0,2.0,2011-01-27,8.0,2,3,4,1,0,0,45,15.0,2,2
106,110043085.0,427992.0,435197.0,3.0,2011-01-27,10.0,4,1,4,1,0,1,41,80.0,2,2
107,110043085.0,427992.0,435197.0,3.0,2011-01-27,10.0,4,1,4,1,1,1,35,70.0,2,2
108,110043220.0,429746.0,437053.0,3.0,2011-01-27,13.0,4,1,4,1,0,1,39,60.0,2,2
109,110043437.0,420882.0,434556.0,2.0,2011-01-27,16.0,0,1,4,1,0,0,31,80.0,2,2
110,110043438.0,421076.0,435274.0,3.0,2011-01-27,17.0,0,1,1,1,0,1,36,55.0,2,2
111,110043438.0,421076.0,435274.0,3.0,2011-01-27,17.0,0,1,1,1,0,0,49,85.0,2,2
112,110043635.0,437311.0,429483.0,2.0,2011-01-27,17.0,0,1,2,1,0,1,18,70.0,9,2
113,110043635.0,437311.0,429483.0,2.0,2011-01-27,17.0,0,1,2,1,1,1,17,35.0,9,2
114,110043675.0,442306.0,430289.0,1.0,2011-01-27,17.0,4,1,1,1,2,1,8,45.0,2,1
115,110043703.0,432718.0,433562.0,2.0,2011-01-27,18.0,4,1,2,1,0,1,26,70.0,2,1
116,110046411.0,431320.0,441249.0,1.0,2011-01-27,14.0,0,1,4,1,1,0,39,35.0,1,2
117,110043967.0,423750.0,434662.0,4.0,2011-01-28,0.0,4,3,2,1,0,0,37,80.0,2,2
118,110045094.0,443535.0,435118.0,2.0,2011-01-28,12.0,3,1,4,1,0,1,32,60.0,2,2
119,110045094.0,443535.0,435118.0,2.0,2011-01-28,12.0,3,1,4,1,1,0,29,85.0,2,2
120,110045094.0,443535.0,435118.0,2.0,2011-01-28,12.0,3,1,4,1,1,0,43,85.0,2,2
121,110045094.0,443535.0,435118.0,2.0,2011-01-28,12.0,3,1,4,1,1,1,25,20.0,2,2
122,110045132.0,428717.0,435610.0,2.0,2011-01-28,15.0,0,1,4,1,0,1,19,55.0,12,2
123,110045521.0,436174.0,434668.0,1.0,2011-01-28,21.0,0,1,2,1,2,1,28,85.0,2,2
124,110045528.0,420545.0,446359.0,2.0,2011-01-28,21.0,2,2,2,1,0,0,41,25.0,2,2
125,110045528.0,420545.0,446359.0,2.0,2011-01-28,21.0,2,2,2,1,0,1,22,5.0,2,2
126,110045528.0,420545.0,446359.0,2.0,2011-01-28,21.0,2,2,2,1,1,1,41,55.0,2,2
127,110046211.0,418531.0,441062.0,1.0,2011-01-28,15.0,4,1,4,1,2,1,12,85.0,2,2
128,110046553.0,429953.0,430857.0,2.0,2011-01-28,8.0,0,1,4,1,0,0,45,25.0,12,2
129,110047363.0,431854.0,434716.0,1.0,2011-01-28,14.0,4,1,4,1,0,0,67,25.0,2,1
130,110050088.0,428838.0,434115.0,2.0,2011-01-28,8.0,4,1,4,1,0,1,59,80.0,2,2
131,110046569.0,430506.0,437060.0,2.0,2011-01-29,12.0,4,1,4,1,0,1,28,20.0,12,2
132,110046644.0,432388.0,433805.0,2.0,2011-01-29,15.0,4,1,4,1,1,1,33,80.0,2,2
133,110046644.0,432388.0,433805.0,2.0,2011-01-29,15.0,4,1,4,1,1,1,40,95.0,2,2
134,110046799.0,423519.0,434062.0,2.0,2011-01-29,11.0,4,1,4,1,1,0,73,95.0,1,2
135,110047084.0,422641.0,440091.0,1.0,2011-01-29,21.0,4,2,2,1,0,1,23,60.0,2,2
136,110047084.0,422641.0,440091.0,1.0,2011-01-29,21.0,4,2,2,1,1,0,27,15.0,2,2
137,110047084.0,422641.0,440091.0,1.0,2011-01-29,21.0,4,2,2,1,1,0,3,55.0,2,2
138,110047403.0,426968.0,439830.0,2.0,2011-01-29,14.0,0,1,4,1,0,0,79,5.0,2,2
139,110047422.0,429878.0,434398.0,2.0,2011-01-29,14.0,1,1,4,1,0,1,32,10.0,2,2
140,110048105.0,428967.0,435475.0,1.0,2011-01-29,21.0,4,1,2,1,2,1,27,45.0,2,1
141,110048505.0,419770.0,437034.0,2.0,2011-01-30,19.0,0,3,2,1,0,1,66,5.0,2,2
142,110048505.0,419770.0,437034.0,2.0,2011-01-30,19.0,0,3,2,1,0,0,35,25.0,2,2
143,110048505.0,419770.0,437034.0,2.0,2011-01-30,19.0,0,3,2,1,1,1,35,65.0,2,2
144,110048544.0,436083.0,434785.0,1.0,2011-01-30,23.0,4,3,2,1,2,1,41,99.0,2,2
145,110050094.0,434804.0,428893.0,2.0,2011-01-31,18.0,4,3,2,1,0,1,43,60.0,12,2
146,110050184.0,434990.0,436886.0,2.0,2011-01-31,17.0,4,1,2,1,0,1,19,65.0,2,2
147,110050184.0,434990.0,436886.0,2.0,2011-01-31,17.0,4,1,2,1,1,1,61,85.0,2,2
148,110053194.0,425155.0,434699.0,1.0,2011-01-31,8.0,4,1,4,1,2,0,37,5.0,14,2
149,110050723.0,429815.0,434603.0,2.0,2011-02-01,8.0,0,1,4,1,0,1,37,95.0,2,2
150,110051807.0,430038.0,434035.0,1.0,2011-02-01,14.0,4,1,4,1,2,0,32,5.0,1,1
151,110051818.0,428581.0,434967.0,2.0,2011-02-01,15.0,4,1,4,1,0,1,20,95.0,12,2
152,110051921.0,427044.0,429414.0,1.0,2011-02-01,17.0,0,1,2,1,2,1,11,45.0,2,2
153,110052017.0,429307.0,428258.0,1.0,2011-02-01,15.0,4,1,4,1,2,1,13,15.0,2,2
154,110052047.0,430398.0,433646.0,1.0,2011-02-01,16.0,4,1,4,1,2,1,56,55.0,1,1
155,110052400.0,443744.0,435694.0,1.0,2011-02-02,7.0,2,3,4,1,0,0,21,35.0,2,1
156,110053081.0,424889.0,427724.0,2.0,2011-02-02,12.0,0,1,4,1,0,1,47,65.0,2,2
157,110053339.0,432513.0,438022.0,2.0,2011-02-02,12.0,4,1,4,1,0,1,47,65.0,3,2
158,110053339.0,432513.0,438022.0,2.0,2011-02-02,12.0,4,1,4,1,0,1,49,25.0,2,2
159,110053862.0,425012.0,432899.0,1.0,2011-02-02,18.0,4,1,1,1,2,0,11,85.0,2,1
160,110054111.0,430958.0,435784.0,5.0,2011-02-02,18.0,4,3,2,0,0,1,40,15.0,2,1
161,110054111.0,430958.0,435784.0,5.0,2011-02-02,18.0,4,3,2,0,0,1,53,80.0,2,2
162,110054111.0,430958.0,435784.0,5.0,2011-02-02,18.0,4,3,2,0,0,0,29,65.0,2,2
163,110054111.0,430958.0,435784.0,5.0,2011-02-02,18.0,4,3,2,0,0,1,25,5.0,2,2
164,110054653.0,424780.0,428805.0,2.0,2011-02-02,17.0,0,3,2,1,0,1,37,20.0,12,2
165,110055847.0,430032.0,431016.0,2.0,2011-02-02,15.0,0,1,4,1,0,1,28,5.0,2,2
166,110054435.0,424947.0,434437.0,2.0,2011-02-03,6.0,0,3,2,5,0,1,33,35.0,12,2
167,110054926.0,435673.0,434812.0,2.0,2011-02-03,9.0,4,1,4,1,0,1,44,25.0,2,2
168,110055096.0,427669.0,438860.0,2.0,2011-02-03,11.0,4,1,4,1,0,0,71,35.0,2,2
169,110055598.0,441394.0,445052.0,2.0,2011-02-03,16.0,1,3,4,4,0,1,62,99.0,2,2
170,110055843.0,420935.0,439490.0,2.0,2011-02-03,19.0,0,1,2,1,0,1,52,35.0,12,2
171,110055851.0,426459.0,428369.0,2.0,2011-02-03,16.0,2,3,4,0,0,1,39,45.0,2,2
172,110055851.0,426459.0,428369.0,2.0,2011-02-03,16.0,2,3,4,0,0,1,40,99.0,2,2
173,110056867.0,429208.0,433847.0,1.0,2011-02-03,15.0,4,1,4,1,1,0,18,5.0,1,2
174,110056132.0,434670.0,435099.0,1.0,2011-02-04,2.0,4,3,2,4,1,1,20,99.0,14,2
175,110056188.0,424453.0,427787.0,2.0,2011-02-04,7.0,3,3,4,4,0,1,38,5.0,2,2
176,110056188.0,424453.0,427787.0,2.0,2011-02-04,7.0,3,3,4,4,1,0,38,20.0,2,2
177,110056459.0,439013.0,439182.0,1.0,2011-02-04,9.0,0,3,4,0,1,1,38,60.0,5,2
178,110056649.0,427847.0,436280.0,1.0,2011-02-04,9.0,0,3,4,4,2,0,30,20.0,2,1
179,110057240.0,426134.0,426769.0,2.0,2011-02-04,13.0,0,1,4,1,1,1,40,95.0,2,2
180,110057406.0,426036.0,427367.0,1.0,2011-02-04,15.0,2,1,4,0,2,1,15,20.0,2,2
181,110058282.0,425632.0,436796.0,1.0,2011-02-04,15.0,4,3,4,4,1,1,30,15.0,1,2
182,110067491.0,426383.0,428151.0,1.0,2011-02-04,11.0,4,1,4,1,2,1,28,85.0,2,1
183,110074054.0,434833.0,438040.0,2.0,2011-02-04,16.0,0,1,4,1,0,1,57,25.0,1,2
184,110074054.0,434833.0,438040.0,2.0,2011-02-04,16.0,0,1,4,1,1,0,13,35.0,1,2
185,110058642.0,426569.0,431733.0,1.0,2011-02-05,10.0,0,1,4,1,1,0,63,60.0,1,2
186,110059141.0,430874.0,434251.0,2.0,2011-02-05,19.0,0,3,2,5,0,1,23,5.0,2,2
187,110059141.0,430874.0,434251.0,2.0,2011-02-05,19.0,0,3,2,5,0,0,19,55.0,2,2
188,110059141.0,430874.0,434251.0,2.0,2011-02-05,19.0,0,3,2,5,1,1,24,45.0,2,2
189,110059141.0,430874.0,434251.0,2.0,2011-02-05,19.0,0,3,2,5,1,0,18,45.0,2,2
190,110059141.0,430874.0,434251.0,2.0,2011-02-05,19.0,0,3,2,5,1,1,13,5.0,2,2
191,110059141.0,430874.0,434251.0,2.0,2011-02-05,19.0,0,3,2,5,1,1,22,25.0,2,2
192,110064617.0,420262.0,445368.0,1.0,2011-02-05,17.0,4,3,4,5,2,0,57,45.0,2,2
193,110059742.0,428992.0,428374.0,1.0,2011-02-06,12.0,4,1,4,1,2,1,5,20.0,2,2
194,110059966.0,436352.0,433783.0,1.0,2011-02-06,14.0,4,3,4,1,2,1,16,70.0,2,2
195,110060152.0,427995.0,435194.0,2.0,2011-02-06,16.0,4,1,2,1,0,1,39,20.0,2,2
196,110060440.0,430905.0,436556.0,3.0,2011-02-06,20.0,2,3,2,5,1,0,17,10.0,2,2
197,110060472.0,430698.0,439043.0,2.0,2011-02-06,17.0,0,3,4,5,0,1,49,45.0,12,2
198,110060503.0,431326.0,435605.0,2.0,2011-02-06,21.0,4,3,2,5,2,0,19,5.0,2,1
199,110060549.0,428955.0,435470.0,2.0,2011-02-06,23.0,0,3,2,1,0,1,31,60.0,2,2
200,110060549.0,428955.0,435470.0,2.0,2011-02-06,23.0,0,3,2,1,1,0,25,20.0,2,2
201,110060585.0,436640.0,425947.0,1.0,2011-02-07,1.0,3,1,0,0,0,1,39,15.0,3,2
202,110060676.0,431326.0,434119.0,1.0,2011-02-07,6.0,4,1,2,1,2,1,27,10.0,2,2
203,110062204.0,430476.0,435597.0,2.0,2011-02-07,19.0,0,1,2,1,0,0,22,99.0,2,2
204,110062204.0,430476.0,435597.0,2.0,2011-02-07,19.0,0,1,2,1,1,1,29,35.0,2,2
205,110062204.0,430476.0,435597.0,2.0,2011-02-07,19.0,0,1,2,1,1,1,23,60.0,2,2
206,110063731.0,430277.0,433009.0,1.0,2011-02-07,17.0,4,3,2,0,2,1,23,95.0,2,2
207,110062730.0,423052.0,437667.0,2.0,2011-02-08,8.0,0,1,4,1,0,1,38,60.0,9,2
208,110063941.0,426312.0,437887.0,1.0,2011-02-08,14.0,4,1,4,1,1,0,60,10.0,1,2
209,110069528.0,430061.0,433649.0,2.0,2011-02-08,11.0,4,1,4,1,0,1,22,35.0,12,2
210,110069686.0,423765.0,438026.0,1.0,2011-02-08,11.0,4,1,4,1,2,0,76,10.0,2,2
211,110065174.0,426189.0,435590.0,1.0,2011-02-09,12.0,2,1,4,1,1,0,76,15.0,1,2
212,110065616.0,427169.0,435874.0,2.0,2011-02-09,16.0,4,3,4,1,0,1,22,95.0,2,2
213,110065616.0,427169.0,435874.0,2.0,2011-02-09,16.0,4,3,4,1,0,1,24,25.0,2,2
214,110065616.0,427169.0,435874.0,2.0,2011-02-09,16.0,4,3,4,1,1,1,18,15.0,2,2
215,110065616.0,427169.0,435874.0,2.0,2011-02-09,16.0,4,3,4,1,1,1,20,10.0,2,2
216,110065616.0,427169.0,435874.0,2.0,2011-02-09,16.0,4,3,4,1,1,1,19,35.0,2,2
217,110065818.0,419356.0,441827.0,1.0,2011-02-09,15.0,4,1,4,1,1,0,81,25.0,1,1
218,110066753.0,426905.0,429235.0,1.0,2011-02-09,14.0,4,1,4,1,2,0,26,25.0,2,2
219,110066343.0,430418.0,431777.0,2.0,2011-02-10,8.0,3,1,4,1,0,0,38,85.0,2,2
220,110066343.0,430418.0,431777.0,2.0,2011-02-10,8.0,3,1,4,1,0,0,38,25.0,2,2
221,110067333.0,426236.0,433053.0,2.0,2011-02-10,14.0,4,1,4,1,1,1,35,10.0,2,2
222,110067333.0,426236.0,433053.0,2.0,2011-02-10,14.0,4,1,4,1,1,0,37,95.0,2,2
223,110067635.0,428003.0,435411.0,1.0,2011-02-10,18.0,4,1,2,1,1,1,24,80.0,1,2
224,110068104.0,429797.0,433795.0,2.0,2011-02-11,3.0,4,1,2,1,1,0,20,20.0,14,2
225,110068104.0,429797.0,433795.0,2.0,2011-02-11,3.0,4,1,2,1,1,0,20,85.0,14,2
226,110068412.0,430016.0,435536.0,2.0,2011-02-11,7.0,4,1,4,1,0,1,39,15.0,12,2
227,110068744.0,430714.0,434877.0,2.0,2011-02-11,9.0,0,3,4,1,0,1,31,20.0,2,2
228,110068815.0,438587.0,429735.0,2.0,2011-02-11,11.0,4,1,4,1,0,0,38,25.0,2,2
229,110068815.0,438587.0,429735.0,2.0,2011-02-11,11.0,4,1,4,1,1,0,26,20.0,2,2
230,110069570.0,430565.0,433453.0,1.0,2011-02-11,13.0,4,1,4,1,1,1,76,95.0,1,2
231,110070052.0,431968.0,435832.0,2.0,2011-02-11,23.0,0,3,2,5,0,0,25,45.0,2,2
232,110070052.0,431968.0,435832.0,2.0,2011-02-11,23.0,0,3,2,5,1,0,20,85.0,2,2
233,110079592.0,435728.0,436231.0,2.0,2011-02-11,11.0,4,1,4,1,1,0,16,45.0,11,2
234,110070139.0,422565.0,427879.0,2.0,2011-02-12,0.0,0,3,2,5,0,1,41,99.0,4,2
235,110070139.0,422565.0,427879.0,2.0,2011-02-12,0.0,0,3,2,5,0,0,28,95.0,2,1
236,110070612.0,430105.0,431574.0,2.0,2011-02-12,14.0,0,1,4,1,1,0,56,20.0,2,2
237,110070612.0,430105.0,431574.0,2.0,2011-02-12,14.0,0,1,4,1,1,0,21,25.0,1,2
238,110070612.0,430105.0,431574.0,2.0,2011-02-12,14.0,0,1,4,1,1,1,39,45.0,2,2
239,110070636.0,428836.0,434632.0,2.0,2011-02-12,13.0,4,1,4,1,0,0,66,95.0,2,2
240,110070636.0,428836.0,434632.0,2.0,2011-02-12,13.0,4,1,4,1,2,0,25,55.0,2,2
241,110070673.0,436567.0,435618.0,1.0,2011-02-12,12.0,4,1,4,1,1,0,67,20.0,1,1
242,110071115.0,418990.0,444835.0,2.0,2011-02-12,16.0,0,1,4,1,0,1,36,60.0,2,2
243,110071677.0,430696.0,439003.0,2.0,2011-02-12,12.0,0,1,4,1,0,1,21,55.0,2,2
244,110076039.0,429877.0,432320.0,2.0,2011-02-12,18.0,0,1,1,1,1,0,32,85.0,1,2
245,110071532.0,438911.0,426835.0,1.0,2011-02-13,5.0,0,3,2,1,0,0,22,70.0,2,2
246,110072117.0,430170.0,432868.0,2.0,2011-02-13,13.0,4,3,4,5,1,0,85,25.0,1,2
247,110072616.0,431985.0,436025.0,2.0,2011-02-13,21.0,4,3,1,5,0,1,27,15.0,6,2
248,110074250.0,430141.0,429921.0,2.0,2011-02-13,19.0,4,1,1,1,0,1,23,65.0,2,2
249,110073046.0,430803.0,435338.0,2.0,2011-02-14,8.0,4,1,4,1,0,1,36,85.0,2,2
